"ID","longitude","latitude","topo","inout"
"X497",-44.25,-22.1,1350.97814941406,1
"X498",-44.2,-22.1,1216.40209960938,1
"X499",-44.15,-22.1,874.025512695312,1
"X500",-44.1,-22.1,790.29150390625,1
"X501",-44.05,-22.1,741.498840332031,1
"X502",-44,-22.1,824.597534179688,1
"X503",-43.95,-22.1,816.501586914062,1
"X504",-43.9,-22.1,740.874633789062,1
"X505",-46.65,-22.05,1037.529296875,1
"X506",-46.6,-22.05,1317.13928222656,1
"X507",-46.55,-22.05,1242.158203125,1
"X508",-46.5,-22.05,1192.42529296875,1
"X509",-46.45,-22.05,1123.9423828125,1
"X510",-46.4,-22.05,1198.80187988281,1
"X511",-46.35,-22.05,1249.37719726562,1
"X512",-46.3,-22.05,1255.67907714844,1
"X513",-46.25,-22.05,1255.67907714844,1
"X514",-46.2,-22.05,1255.67907714844,1
"X515",-46.15,-22.05,1255.67907714844,1
"X516",-46.1,-22.05,1255.67907714844,1
"X517",-46.05,-22.05,1255.67907714844,1
"X518",-46,-22.05,1242.50073242188,1
"X519",-45.95,-22.05,1066.65075683594,1
"X520",-45.9,-22.05,879.252197265625,1
"X521",-45.85,-22.05,864.428466796875,1
"X522",-45.8,-22.05,864.428466796875,1
"X523",-45.75,-22.05,864.428466796875,1
"X524",-45.7,-22.05,864.428466796875,1
"X525",-45.65,-22.05,864.428466796875,1
"X526",-45.6,-22.05,891.95751953125,1
"X527",-45.55,-22.05,976.595703125,1
"X528",-45.5,-22.05,1059.78454589844,1
"X529",-45.45,-22.05,1188.5302734375,1
"X530",-45.4,-22.05,1252.37976074219,1
"X531",-45.35,-22.05,1237.150390625,1
"X532",-45.3,-22.05,1121.78503417969,1
"X533",-45.25,-22.05,1117.32019042969,1
"X534",-45.2,-22.05,1036.85107421875,1
"X535",-45.15,-22.05,877.6591796875,1
"X536",-45.1,-22.05,864.428466796875,1
"X537",-45.05,-22.05,888.557556152344,1
"X538",-45,-22.05,993.050170898438,1
"X539",-44.95,-22.05,1077.64453125,1
"X540",-44.9,-22.05,1143.33032226562,1
"X541",-44.85,-22.05,1255.67907714844,1
"X542",-44.8,-22.05,1259.69250488281,1
"X543",-44.75,-22.05,1411.6884765625,1
"X544",-44.7,-22.05,1693.45532226562,1
"X545",-44.65,-22.05,1589.5341796875,1
"X546",-44.6,-22.05,1405.96716308594,1
"X547",-44.55,-22.05,1400.53564453125,1
"X548",-44.5,-22.05,1347.14367675781,1
"X549",-44.45,-22.05,1306.17932128906,1
"X550",-44.4,-22.05,1292.91638183594,1
"X551",-44.35,-22.05,1257.44885253906,1
"X552",-44.3,-22.05,1255.67907714844,1
"X553",-44.25,-22.05,1262.59326171875,1
"X554",-44.2,-22.05,1260.45043945312,1
"X555",-44.15,-22.05,1155.23645019531,1
"X556",-44.1,-22.05,954.008483886719,1
"X557",-44.05,-22.05,932.738891601562,1
"X558",-44,-22.05,1071.23681640625,1
"X559",-43.95,-22.05,1033.23486328125,1
"X560",-43.9,-22.05,899.3525390625,1
"X561",-43.85,-22.05,773.028076171875,1
"X562",-43.8,-22.05,672.269653320312,1
"X563",-43.75,-22.05,678.324035644531,1
"X564",-43.7,-22.05,695.010009765625,1
"X565",-43.65,-22.05,665.245422363281,1
"X566",-43.6,-22.05,697.431518554688,1
"X567",-43.55,-22.05,621.015625,1
"X568",-43.5,-22.05,555.595397949219,1
"X569",-43.45,-22.05,588.131713867188,1
"X570",-43.1,-22.05,489.609436035156,1
"X571",-43.05,-22.05,551.79345703125,1
"X572",-46.6,-22,1312.94677734375,1
"X573",-46.55,-22,1348.97998046875,1
"X574",-46.5,-22,1267.46325683594,1
"X575",-46.45,-22,1257.13305664062,1
"X576",-46.4,-22,1381.33154296875,1
"X577",-46.35,-22,1302.43371582031,1
"X578",-46.3,-22,1255.75695800781,1
"X579",-46.25,-22,1255.67907714844,1
"X580",-46.2,-22,1255.67895507812,1
"X581",-46.15,-22,1255.67919921875,1
"X582",-46.1,-22,1255.67907714844,1
"X583",-46.05,-22,1255.67907714844,1
"X584",-46,-22,1226.09936523438,1
"X585",-45.95,-22,1040.2861328125,1
"X586",-45.9,-22,894.061645507812,1
"X587",-45.85,-22,864.428466796875,1
"X588",-45.8,-22,864.428466796875,1
